reservation_c,os_cat,dd,browser_cat,reservation_n,no_of_purchases_last_7_days,day,month,year,Boo,rand,NOP_before_purchase
Non-Purchase,Windows,D,MSIE,0,0,01-Jan-10,01-01-1998,01-01-1900,FALSE,590.9853806,3
Non-Purchase,Mac,D,Safari,0,0,02-Jan-10,01-02-1998,01-02-1900,FALSE,126.3856957,13
Non-Purchase,iOS,T,Safari,0,0,03-Jan-10,01-03-1998,01-03-1900,FALSE,75.19964349,2
Non-Purchase,Mac,D,Safari,0,0,04-Jan-10,01-04-1998,01-04-1900,FALSE,560.4356862,3
Non-Purchase,Windows,D,MSIE,0,0,05-Jan-10,01-05-1998,01-05-1900,FALSE,571.0977366,7
Non-Purchase,Windows,D,MSIE,0,0,06-Jan-10,01-06-1998,01-06-1900,FALSE,744.1238036,6
Non-Purchase,Windows,D,Firefox,0,0,07-Jan-10,01-07-1998,01-07-1900,FALSE,756.0160343,22
Non-Purchase,Windows,D,Chrome,0,0,08-Jan-10,01-08-1998,01-08-1900,FALSE,328.2135984,6
Non-Purchase,Windows,D,Firefox,0,0,09-Jan-10,01-09-1998,01-09-1900,FALSE,726.0100113,68
Non-Purchase,Windows,D,Chrome,0,0,10-Jan-10,01-10-1998,01-10-1900,FALSE,476.5076663,4
Non-Purchase,Windows,D,Chrome,0,0,11-Jan-10,01-11-1998,01-11-1900,FALSE,641.3460199,8
Purchase,Mac,D,Safari,1,1,12-Jan-10,01-12-1998,01-12-1900,TRUE,744.8759892,4
Non-Purchase,Windows,D,MSIE,0,0,13-Jan-10,01-01-1999,01-01-1901,FALSE,401.1007717,22
Non-Purchase,Windows,D,Chrome,0,0,14-Jan-10,01-02-1999,01-02-1901,FALSE,568.8907132,9
Non-Purchase,Windows,D,Chrome,0,0,15-Jan-10,01-03-1999,01-03-1901,FALSE,551.9531782,16
Non-Purchase,Windows,D,Chrome,0,0,16-Jan-10,01-04-1999,01-04-1901,FALSE,171.6423311,2
Non-Purchase,Mac,D,Chrome,0,0,17-Jan-10,01-05-1999,01-05-1901,FALSE,332.0746696,2
Non-Purchase,Windows,D,Chrome,0,1,18-Jan-10,01-06-1999,01-06-1901,TRUE,789.846716,6
Non-Purchase,Windows,D,MSIE,0,0,19-Jan-10,01-07-1999,01-07-1901,FALSE,911.7955305,3
Non-Purchase,Windows,D,Firefox,0,0,20-Jan-10,01-08-1999,01-08-1901,FALSE,213.7995263,4
Non-Purchase,Mac,D,Firefox,0,0,21-Jan-10,01-09-1999,01-09-1901,FALSE,315.8585173,2
Non-Purchase,Windows,D,MSIE,0,0,22-Jan-10,01-10-1999,01-10-1901,FALSE,584.3413176,20
Non-Purchase,Windows,D,Chrome,0,0,23-Jan-10,01-11-1999,01-11-1901,FALSE,939.0960747,5
Non-Purchase,Windows,D,MSIE,0,0,24-Jan-10,01-12-1999,01-12-1901,FALSE,189.1384808,7
Non-Purchase,Windows,D,MSIE,0,0,25-Jan-10,01-01-2000,01-01-1902,FALSE,405.9187655,10
Non-Purchase,Windows,D,Chrome,0,0,26-Jan-10,01-02-2000,01-02-1902,FALSE,320.046618,10
Non-Purchase,iOS,T,Safari,0,1,27-Jan-10,01-03-2000,01-03-1902,TRUE,819.8995775,15
Non-Purchase,Mac,D,Chrome,0,0,28-Jan-10,01-04-2000,01-04-1902,FALSE,314.3772412,5
Non-Purchase,Windows,D,MSIE,0,0,29-Jan-10,01-05-2000,01-05-1902,FALSE,818.8230408,8
Non-Purchase,Windows,D,MSIE,0,0,30-Jan-10,01-06-2000,01-06-1902,FALSE,427.1964668,68
Non-Purchase,iOS,T,Safari,0,0,31-Jan-10,01-07-2000,01-07-1902,FALSE,868.8613853,3
Non-Purchase,Mac,D,Safari,0,0,01-Feb-10,01-08-2000,01-08-1902,FALSE,114.4891528,4
Purchase,Windows,D,Firefox,1,1,02-Feb-10,01-09-2000,01-09-1902,TRUE,52.58546555,11
Non-Purchase,Windows,D,MSIE,0,0,03-Feb-10,01-10-2000,01-10-1902,FALSE,197.8652551,5
Non-Purchase,Windows,D,MSIE,0,0,04-Feb-10,01-11-2000,01-11-1902,FALSE,924.9883732,7
Non-Purchase,Windows,D,MSIE,0,0,05-Feb-10,01-12-2000,01-12-1902,FALSE,86.50006815,3
Non-Purchase,Windows,D,Firefox,0,0,06-Feb-10,01-01-2001,01-01-1903,FALSE,988.9177229,19
Non-Purchase,Windows,D,MSIE,0,0,07-Feb-10,01-02-2001,01-02-1903,FALSE,556.700585,3
Non-Purchase,Windows,D,MSIE,0,0,08-Feb-10,01-03-2001,01-03-1903,FALSE,538.0182032,6
Non-Purchase,Windows,D,Chrome,0,0,09-Feb-10,01-04-2001,01-04-1903,FALSE,185.2549931,2
Non-Purchase,Windows,D,MSIE,0,0,10-Feb-10,01-05-2001,01-05-1903,FALSE,85.44068806,3
Non-Purchase,Windows,D,Chrome,0,0,11-Feb-10,01-06-2001,01-06-1903,FALSE,38.1510401,3
Non-Purchase,Mac,D,Safari,0,0,12-Feb-10,01-07-2001,01-07-1903,FALSE,708.0878746,29
Non-Purchase,iOS,T,Safari,0,0,13-Feb-10,01-08-2001,01-08-1903,FALSE,209.329299,4
Non-Purchase,Windows,D,MSIE,0,0,14-Feb-10,01-09-2001,01-09-1903,FALSE,0.098099948,12
Non-Purchase,Windows,D,MSIE,0,0,15-Feb-10,01-10-2001,01-10-1903,FALSE,91.04517775,4
Non-Purchase,Windows,D,MSIE,0,0,16-Feb-10,01-11-2001,01-11-1903,FALSE,469.6987984,8
Non-Purchase,iOS,T,Safari,0,0,17-Feb-10,01-12-2001,01-12-1903,FALSE,601.7597191,5
Non-Purchase,Mac,D,Safari,0,0,18-Feb-10,01-01-2002,01-01-1904,FALSE,621.2779621,26
Non-Purchase,Windows,D,Chrome,0,0,19-Feb-10,01-02-2002,01-02-1904,FALSE,70.64472763,23
Non-Purchase,Android,T,Chrome,0,0,20-Feb-10,01-03-2002,01-03-1904,FALSE,674.166208,3
Non-Purchase,Windows,D,Chrome,0,0,21-Feb-10,01-04-2002,01-04-1904,FALSE,57.97661103,20
Non-Purchase,iOS,T,Safari,0,0,22-Feb-10,01-05-2002,01-05-1904,FALSE,500.3575352,3
Non-Purchase,Windows,D,Chrome,0,0,23-Feb-10,01-06-2002,01-06-1904,FALSE,927.9291303,3
Non-Purchase,Mac,D,Firefox,0,0,24-Feb-10,01-07-2002,01-07-1904,FALSE,233.9627782,8
Non-Purchase,Windows,D,Chrome,0,0,25-Feb-10,01-08-2002,01-08-1904,FALSE,537.1663392,10
Non-Purchase,Mac,D,Chrome,0,0,26-Feb-10,01-09-2002,01-09-1904,FALSE,203.8795233,33
Non-Purchase,Mac,D,Chrome,0,0,27-Feb-10,01-10-2002,01-10-1904,FALSE,102.3129676,5
Non-Purchase,iOS,T,Safari,0,0,28-Feb-10,01-11-2002,01-11-1904,FALSE,597.479728,5
Non-Purchase,iOS,T,Safari,0,0,01-Mar-10,01-12-2002,01-12-1904,FALSE,46.09198621,2
Non-Purchase,Windows,D,Chrome,0,0,02-Mar-10,01-01-2003,01-01-1905,FALSE,760.5866649,2
Non-Purchase,Windows,D,Chrome,0,0,03-Mar-10,01-02-2003,01-02-1905,FALSE,577.3567848,3
Non-Purchase,Mac,D,Safari,0,0,04-Mar-10,01-03-2003,01-03-1905,FALSE,936.1045338,4
Purchase,Windows,D,Chrome,1,1,05-Mar-10,01-04-2003,01-04-1905,TRUE,783.332109,5
Non-Purchase,iOS,T,Safari,0,0,06-Mar-10,01-05-2003,01-05-1905,FALSE,77.81370804,4
Non-Purchase,Mac,D,Safari,0,0,07-Mar-10,01-06-2003,01-06-1905,FALSE,202.8150578,17
Non-Purchase,Windows,D,Chrome,0,0,08-Mar-10,01-07-2003,01-07-1905,FALSE,642.7711881,3
Non-Purchase,Windows,D,Firefox,0,0,09-Mar-10,01-08-2003,01-08-1905,FALSE,219.3621532,10
Non-Purchase,Windows,D,Firefox,0,0,10-Mar-10,01-09-2003,01-09-1905,FALSE,831.9876979,11
Non-Purchase,Windows,D,MSIE,0,0,11-Mar-10,01-10-2003,01-10-1905,FALSE,57.07358885,5
Non-Purchase,Windows,D,MSIE,0,0,12-Mar-10,01-11-2003,01-11-1905,FALSE,864.4130696,2
Non-Purchase,Windows,D,MSIE,0,0,13-Mar-10,01-12-2003,01-12-1905,FALSE,789.3137841,2
Non-Purchase,Windows,D,MSIE,0,0,14-Mar-10,01-01-2004,01-01-1906,FALSE,102.0562366,2
Non-Purchase,Windows,D,Chrome,0,0,15-Mar-10,01-02-2004,01-02-1906,FALSE,476.6345361,2
